Date,Description,Comments,Check Number,Amount,Balance
2023-04-25,Netflix Subscription,,9521,-150.0,2003.61
2023-07-19,Spotify Subscription,,5342,-4.5,1064.51
2023-03-04,Netflix Subscription,,9127,-19.99,4296.87
2024-05-17,Target Store,Ride,1224,-19.99,2696.9
2023-07-10,Walmart Supercenter,,7884,-9.99,3552.38
2024-04-04,Target Store,Fuel,9609,-15.0,4658.02
2024-01-14,Starbucks,,2206,-30.0,1513.4
2024-03-29,Amazon Marketplace,Groceries,9209,-15.0,3251.73
2023-12-07,Shell Gas Station,,2962,-15.0,2220.54
2023-10-08,Lyft Ride,,2081,-4.5,3270.45
2024-03-02,Netflix Subscription,,9406,-12.34,2118.76
2024-04-09,Netflix Subscription,Monthly subscription,2160,-12.34,2359.04
2023-10-06,Uber Eats,,7205,-12.34,2269.69
2024-02-20,Amazon Marketplace,Monthly subscription,1113,-150.0,2951.58
2024-02-04,Lyft Ride,Electronics,5078,-12.34,4947.53
2023-12-15,Starbucks,,7068,-4.5,2034.33
2024-02-18,Shell Gas Station,,7011,-75.25,1415.73
2024-04-24,Shell Gas Station,Monthly subscription,3522,-19.99,2306.97
2023-05-28,Lyft Ride,Fuel,3286,-50.75,1097.71
2024-04-14,Spotify Subscription,Monthly subscription,1391,-12.34,4975.75
2023-10-24,Amazon Marketplace,Monthly subscription,3931,-4.5,2023.01
2023-11-10,Netflix Subscription,Fuel,7535,-75.25,3271.42
2024-02-27,Target Store,,5345,-20.0,2953.19
2024-04-26,Walmart Supercenter,Ride,1178,-75.25,4092.95
2023-07-06,Starbucks,,9912,-12.34,2823.84
2023-02-24,Shell Gas Station,Monthly subscription,8810,-75.25,2114.23
2024-02-25,Netflix Subscription,,8743,-4.5,2456.04
2023-08-30,Netflix Subscription,Electronics,1227,-4.5,1587.45
2024-04-15,Starbucks,Fuel,6118,-15.0,2538.02
2024-05-16,Spotify Subscription,Monthly subscription,3516,-30.0,3804.8
2023-11-22,Target Store,Electronics,3500,-30.0,4513.78
2023-11-14,Walmart Supercenter,,3387,-50.75,3647.93
2023-10-26,Walmart Supercenter,Electronics,6103,-9.99,1816.54
2023-12-22,Spotify Subscription,Monthly subscription,4081,-9.99,2346.92
2023-06-09,Spotify Subscription,Electronics,4068,-9.99,1327.63
2023-11-11,Uber Eats,Fuel,6048,-20.0,1757.05
2024-03-21,Starbucks,Fuel,8879,-19.99,1840.07
2024-02-07,Target Store,Ride,5448,-20.0,3919.34
2023-02-05,Walmart Supercenter,Fuel,4375,-12.34,3897.66
2023-09-17,Spotify Subscription,,6101,-9.99,1914.45
2024-03-26,Shell Gas Station,Fuel,9368,-20.0,4555.18
2023-02-14,Spotify Subscription,Ride,8945,-30.0,2082.17
2024-05-18,Best Buy,,6319,-50.75,1769.55
2024-06-01,Target Store,,8923,-75.25,4306.0
2023-08-02,Amazon Marketplace,Fuel,9916,-30.0,1443.58
2023-04-26,Lyft Ride,,2614,-4.5,4902.76
2023-04-18,Lyft Ride,,9235,-15.0,2374.69
2023-05-27,Starbucks,,7742,-15.0,4670.62
2024-05-14,Target Store,,4594,-50.75,3842.86
2023-06-01,Uber Eats,,8085,-12.34,4818.13
2024-03-03,Starbucks,,1522,-75.25,3583.43
2023-02-22,Amazon Marketplace,,2176,-30.0,3548.52
2023-11-12,Netflix Subscription,,7968,-9.99,2445.34
2023-03-14,Target Store,Fuel,6931,-150.0,2119.02
